-- Aqui os 1000 inserts de usuario.
Use adrianob_2025petcare5;
INSERT INTO usuarios (usuario_nome, cpf, email, verificado, telefone, tipo, senha) VALUES
('Vítor Rocha', '036.629.498-90', 'vitorrocha@email.com', FALSE, '(21) 99876-1253', 'Comum', 'V!t0rR0ch@'),
('Sebastião Barbosa', '319.100.027-55', 'sebastiyaobarbosa@email.com', TRUE, '(31) 97654-1254', 'Ong', 'S3b@st!@0B@rb0s@'),
('Fernando Borges', '156.967.504-00', 'fernandoborges@email.com', FALSE, '(41) 96543-1255', 'Comum', 'F3rn@nd0B0rg3s'),
('Diego Almeida', '674.228.428-57', 'diegoalmeida@email.com', TRUE, '(51) 95432-1256', 'Ong', 'D!3g0@lm3!d@'),
('Vítor Silva', '000.643.176-33', 'vitorsailva@email.com', FALSE, '(61) 94321-1257', 'Comum', 'V!t0rS!lv@'),
('Francisco Lopes', '021.797.826-67', 'franciscolopes@email.com', TRUE, '(71) 93210-1258', 'Ong', 'Fr@nc!sc0L0p3s'),
('Rodrigo de Araujo', '696.053.491-75', 'rodrigodearaujo@email.com', FALSE, '(81) 92109-1259', 'Comum', 'R0dr!g0Ar@uj0'),
('Vítor Dias', '280.557.331-55', 'vitordias@email.com', TRUE, '(91) 91098-1260', 'Ong', 'V!t0rD!@s'),
('José de Almeida', '447.380.864-56', 'josedealmeida@email.com', FALSE, '(11) 98765-1261', 'Comum', 'J0s3D3@lm3!d@'),
('Sebastião Machado', '298.109.824-10', 'sebastiaomachado@email.com', TRUE, '(21) 99876-1262', 'Ong', 'S3b@st!@0M@ch@d0'),
('Mateus Nascimento', '911.529.087-58', 'mateusnascimento@email.com', FALSE, '(31) 97654-1263', 'Comum', 'M@t3usN@sc!m3nt0'),
('Luís Alves', '650.857.049-83', 'luisalves@email.com', TRUE, '(41) 96543-1264', 'Ong', 'Lu!s@lv3s'),
('Renato Sousa', '964.926.606-25', 'renatosousa@email.com', FALSE, '(51) 95432-1265', 'Comum', 'R3n@t0S0u$a'),
('Bruno Oliveira', '219.191.158-70', 'brunooliveira@email.com', TRUE, '(61) 94321-1266', 'Ong', 'BrUn0Ol!v3!r@'),
('Pedro Carvalho', '744.069.679-40', 'pedrocarvalho@email.com', FALSE, '(71) 93210-1267', 'Comum', 'P3dr0C@rv@lh0'),
('Jorge Ferreira', '767.744.357-50', 'jorgeferreira@email.com', TRUE, '(81) 92109-1268', 'Ong', 'J0rg3F3rr3!r@'),
('Raimundo de Araujo', '174.701.455-91', 'raimundoaraujo@email.com', FALSE, '(91) 91098-1269', 'Comum', 'R@!mund0Ar@uj0'),
('Bruno Marques', '416.428.798-51', 'brunomarques@email.com', TRUE, '(11) 98765-1270', 'Ong', 'BrUn0M@rqu3s'),
('Leandro do Nascimento', '107.855.029-80', 'leandronascimento@email.com', FALSE, '(21) 99876-1271', 'Comum', 'L3@ndr0N@sc!m3nt0'),
('Bruno Lima', '596.845.893-36', 'brunolima@email.com', TRUE, '(31) 97654-1272', 'Ong', 'BrUn0L!m@'),
('Renato da Costa', '010.773.090-15', 'renatodacosta@email.com', FALSE, '(41) 96543-1273', 'Comum', 'R3n@t0C0st@'),
('Felipe Marques', '249.080.419-70', 'felipemarques@email.com', TRUE, '(51) 95432-1274', 'Ong', 'F3l!p3M@rqu3s'),
('Marcos Soares', '321.565.251-02', 'marcossoares@email.com', FALSE, '(61) 94321-1275', 'Comum', 'M@rc0sS0@r3s'),
('Daniel Sousa', '010.782.606-21', 'danielsousa@email.com', TRUE, '(71) 93210-1276', 'Ong', 'D@n!3lS0u$a'),
('Eduardo Nunes', '585.793.295-58', 'eduardonunes@email.com', FALSE, '(81) 92109-1277', 'Comum', 'DuarD0NUn3s'),
('Sebastião Barbosa', '266.454.199-45', 'sebastiaobarbosa@email.com', TRUE, '(91) 91098-1278', 'Ong', 'S3b@st!@0B@rb0s@'),
('Francisco Nunes', '303.150.564-60', 'francisconunes@email.com', FALSE, '(11) 98765-1279', 'Comum', 'Fr@nc!sc0NUn3s'),
('Fernando Nunes', '200.213.138-49', 'fernandonunes@email.com', TRUE, '(21) 99876-1280', 'Ong', 'F3rn@nd0NUn3s'),
('Vítor Silva', '115.174.682-72', 'vitorsilva@email.com', FALSE, '(31) 97654-1281', 'Comum', 'V!t0rS!lv@'),
('Sérgio Gonçalves', '269.090.837-92', 'sergiogoncalves@email.com', TRUE, '(41) 96543-1282', 'Ong', 'S3rg!0G0nc@lv3s'),
('João Dias', '002.964.593-05', 'joaodias@email.com', FALSE, '(51) 95432-1283', 'Comum', 'J0@0D!@s'),
('Alexandre Lima', '059.210.105-37', 'alexandrelima@email.com', TRUE, '(61) 94321-1284', 'Ong', 'Al3x@ndr3L!m@'),
('Ricardo de Oliveira', '136.445.902-73', 'ricardofdeoliveira@email.com', FALSE, '(71) 93210-1285', 'Comum', 'R!c@rd0Ol!v3!r@'),
('Matheus Silva', '142.275.784-69', 'matheussilva@email.com', TRUE, '(81) 92109-1286', 'Ong', 'M@th3usS!lv@'),
('Fábio Nunes', '541.523.446-28', 'fabionunes@email.com', FALSE, '(91) 91098-1287', 'Comum', 'F@b!0NUn3s'),
('Manoel Moreira', '441.462.225-59', 'manoelmoreira@email.com', TRUE, '(11) 98765-1288', 'Ong', 'M@n03lM0r3!r@'),
('Sebastião Nascimento', '745.911.502-91', 'sebastiaonascimento@email.com', FALSE, '(21) 99876-1289', 'Comum', 'S3b@st!@0N@sc!m3nt0'),
('Bruno de Souza', '506.143.478-15', 'brunodesouza@email.com', TRUE, '(31) 97654-1290', 'Ong', 'BrUn0D3S0u$a'),
('Lucas Vieira', '130.189.056-10', 'lucasvieira@email.com', FALSE, '(41) 96543-1291', 'Comum', 'Luc@sV!3!r@'),
('Jorge de Almeida', '429.388.698-27', 'jorgedealmeida@email.com', TRUE, '(51) 95432-1292', 'Ong', 'J0rg3D3@lm3!d@'),
('Mateus Oliveira', '069.740.168-59', 'mateusoliveira@email.com', FALSE, '(61) 94321-1293', 'Comum', 'M@t3usOl!v3!r@'),
('Rafael Lima', '451.462.414-49', 'rafaellima@email.com', TRUE, '(71) 93210-1294', 'Ong', 'R@f43lL!m@'),
('André Vieira', '543.639.028-50', 'andreveira@email.com', FALSE, '(81) 92109-1295', 'Comum', 'Andr3V!3!r@'),
('Gustavo Teixeira', '862.350.964-10', 'gustavoteixeira@email.com', TRUE, '(91) 91098-1296', 'Ong', 'GusT@v0T3!x3!r@'),
('Matheus Martins', '159.303.649-31', 'matheusmartins@email.com', FALSE, '(11) 98765-1297', 'Comum', 'M@th3usM@rt!ns'),
('Daniel da Silva', '060.314.669-45', 'danieldasilva@email.com', TRUE, '(21) 99876-1298', 'Ong', 'D@n!3lD@S!lv@'),
('Felipe Marques', '355.061.035-14', 'felipemfarques@email.com', FALSE, '(31) 97654-1299', 'Comum', 'F3l!p3M@rqu3s'),
('Daniel de Oliveira', '090.048.131-52', 'danieldeoliveira@email.com', TRUE, '(41) 96543-1300', 'Ong', 'D@n!3lD3Ol!v3!r@'),
('Marcos Oliveira', '328.653.992-90', 'marcosoliveira@email.com', FALSE, '(51) 95432-1301', 'Comum', 'M@rc0sOl!v3!r@'),
('Mateus Fernandes', '708.038.003-04', 'mateusfernandes@email.com', TRUE, '(61) 94321-1302', 'Ong', 'M@t3usF3rn@nd3s'),
('Marcos Lopes', '230.861.056-58', 'marcdoslopes@email.com', FALSE, '(71) 93210-1303', 'Comum', 'M@rc0sL0p3s'),
('Adriano Araujo', '902.693.860-84', 'adrianoaraujo@email.com', TRUE, '(81) 92109-1304', 'Ong', 'Adr!@n0Ar@uj0'),
('Leandro de Souza', '262.933.452-07', 'leandrodesouza@email.com', FALSE, '(91) 91098-1305', 'Comum', 'L3@ndr0D3S0u$a'),
('Vítor Ferreira', '949.462.396-77', 'vitorferreira@email.com', TRUE, '(11) 98765-1306', 'Ong', 'V!t0rF3rr3!r@'),
('Marcos Soares', '551.698.957-47', 'marcossoaares@email.com', FALSE, '(21) 99876-1307', 'Comum', 'M@rc0sS0@r3s'),
('Diego Oliveira', '107.444.554-64', 'diegojorgeoliveira@email.com', TRUE, '(31) 97654-1308', 'Ong', 'D!3g0Ol!v3!r@'),
('Vítor Lopes', '317.666.553-94', 'vitorlopes@email.com', FALSE, '(41) 96543-1309', 'Comum', 'V!t0rL0p3s'),
('José Sousa', '180.928.841-02', 'josesousa@email.com', TRUE, '(51) 95432-1310', 'Ong', 'J0s3S0u$a'),
('Thiago Nunes', '505.857.917-08', 'thiagonunes@email.com', FALSE, '(61) 94321-1311', 'Comum', 'Th!@g0NUn3s'),
('Luíz Martins', '813.821.460-00', 'luizmartains@email.com', TRUE, '(71) 93210-1312', 'Ong', 'Lu!zM@rt!ns'),
('Gustavo Santos', '752.842.167-76', 'gustavosantos@email.com', FALSE, '(81) 92109-1313', 'Comum', 'GusT@v0S@nt0s'),
('Ânderson Sousa', '758.159.578-10', 'andersonsousa@email.com', TRUE, '(91) 91098-1314', 'Ong', 'And3rs0nS0u$a'),
('Luíz Rodrigues', '374.450.123-03', 'luizrodrigues@email.com', FALSE, '(11) 98765-1315', 'Comum', 'Lu!zR0dr!gu3s'),
('Fernando Barbosa', '976.574.823-03', 'fernandobarbosa@email.com', TRUE, '(21) 99876-1316', 'Ong', 'F3rn@nd0B@rb0s@'),
('Jorge do Nascimento', '199.870.558-77', 'jorgenascimento@email.com', FALSE, '(31) 97654-1317', 'Comum', 'J0rg3N@sc!m3nt0'),
('Ânderson Almeida', '167.082.694-57', 'andersonalmeida@email.com', TRUE, '(41) 96543-1318', 'Ong', 'And3rs0n@lm3!d@'),
('Marcelo de Oliveira', '011.889.549-46', 'marcelodeoliveira@email.com', FALSE, '(51) 95432-1319', 'Comum', 'M@rc3l0Ol!v3!r@'),
('Fábio Rodrigues', '194.572.940-68', 'fabiorodrigues@email.com', TRUE, '(61) 94321-1320', 'Ong', 'F@b!0R0dr!gu3s'),
('Marcos Teixeira', '228.146.132-78', 'marcosteixeira@email.com', FALSE, '(71) 93210-1321', 'Comum', 'M@rc0sT3!x3!r@'),
('Mateus de Oliveira', '789.953.734-74', 'mateusdeoliveira@email.com', TRUE, '(81) 92109-1322', 'Ong', 'M@t3usD3Ol!v3!r@'),
('Felipe dos Santos', '427.777.823-26', 'felipedossantos@email.com', FALSE, '(91) 91098-1323', 'Comum', 'F3l!p3D0sS@nt0s'),
('Fernando de Souza', '578.136.374-29', 'fernandodesouza@email.com', TRUE, '(11) 98765-1324', 'Ong', 'F3rn@nd0D3S0u$a'),
('Vítor Nascimento', '182.360.461-76', 'vitornascimento@email.com', FALSE, '(21) 99876-1325', 'Comum', 'V!t0rN@sc!m3nt0'),
('Rodrigo Vieira', '170.029.167-00', 'rodrigovieira@email.com', TRUE, '(31) 97654-1326', 'Ong', 'R0dr!g0V!3!r@'),
('Cláudio de Souza', '296.057.620-99', 'claudiodesouza@email.com', FALSE, '(41) 96543-1327', 'Comum', 'Cl@ud!0D3S0u$a'),
('Ânderson Dias', '530.645.939-00', 'andersondias@email.com', TRUE, '(51) 95432-1328', 'Ong', 'And3rs0nD!@s'),
('Márcio Dias', '952.893.398-09', 'marciodias@email.com', FALSE, '(61) 94321-1329', 'Comum', 'M4rc!0D!@s'),
('José Vieira', '586.929.978-03', 'josevieira@email.com', TRUE, '(71) 93210-1330', 'Ong', 'J0s3V!3!r@'),
('Júlio da Silva', '483.242.103-42', 'juliodasilva@email.com', FALSE, '(81) 92109-1331', 'Comum', 'Jul!0D@S!lv@'),
('Thiago Souza', '688.465.184-97', 'thiagosouza@email.com', TRUE, '(91) 91098-1332', 'Ong', 'Th!@g0S0u$a'),
('Luís Lopes', '533.706.335-90', 'luislopes@email.com', FALSE, '(11) 98765-1333', 'Comum', 'Lu!sL0p3s'),
('Thiago Mendes', '381.089.269-63', 'thiagomendes@email.com', TRUE, '(21) 99876-1334', 'Ong', 'Th!@g0M3nd3s'),
('Raimundo de Lima', '398.295.712-54', 'raimundodelima@email.com', FALSE, '(31) 97654-1335', 'Comum', 'R@!mund0D3L!m@'),
('Marcelo Mendes', '079.482.644-00', 'marcelomendes@email.com', TRUE, '(41) 96543-1336', 'Ong', 'M@rc3l0M3nd3s'),
('Ricardo de Lima', '629.945.172-64', 'ricardodelima@email.com', FALSE, '(51) 95432-1337', 'Comum', 'R!c@rd0D3L!m@'),
('Carlos Barbosa', '732.156.658-75', 'carlosbarbosa@email.com', TRUE, '(61) 94321-1338', 'Ong', 'C@rl0sB@rb0s@'),
('Júlio Alves', '105.455.538-90', 'julioalves@email.com', FALSE, '(71) 93210-1339', 'Comum', 'Jul!0@lv3s'),
('Adriano Lima', '326.653.371-26', 'adrianolima@email.com', TRUE, '(81) 92109-1340', 'Ong', 'Adr!@n0L!m@'),
('Gustavo de Almeida', '458.821.138-22', 'gustavodealmeida@email.com', FALSE, '(91) 91098-1341', 'Comum', 'GusT@v0D3@lm3!d@'),
('Daniel Dias', '823.123.293-10', 'daanieldias@email.com', TRUE, '(11) 98765-1342', 'Ong', 'D@n!3lD!@s'),
('Júlio Ribeiro', '482.450.754-50', 'julioribeiro@email.com', FALSE, '(21) 99876-1343', 'Comum', 'Jul!0R!b3!r0'),
('Manoel de Souza', '868.690.442-44', 'manoeldesouza@email.com', TRUE, '(31) 97654-1344', 'Ong', 'M@n03lD3S0u$a'),
('André Soares', '680.327.783-65', 'andresoares@email.com', FALSE, '(41) 96543-1345', 'Comum', 'Andr3S0@r3s'),
('Eduardo Gonçalves', '903.898.591-68', 'eduardogoncalves@email.com', TRUE, '(51) 95432-1346', 'Ong', 'DuarD0G0nc@lv3s'),
('Antônio de Araujo', '530.616.262-20', 'antonioaraujo@email.com', FALSE, '(61) 94321-1347', 'Comum', 'Ant0n!0Ar@uj0'),
('Paulo Souza', '575.640.896-79', 'paulosouza@email.com', TRUE, '(71) 93210-1348', 'Ong', 'P4ul0S0u$a'),
('Fernando de Carvalho', '686.708.533-45', 'fernandodecarvalho@email.com', FALSE, '(81) 92109-1349', 'Comum', 'F3rn@nd0C@rv@lh0'),
('Roberto Nascimento', '654.820.758-00', 'robertonascimento@email.com', TRUE, '(91) 91098-1350', 'Ong', 'R0b3rt0N@sc!m3nt0'),
('Rafael Oliveira', '834.159.675-06', 'rafaeloliveira@email.com', FALSE, '(11) 98765-1351', 'Comum', 'R@f43lOl!v3!r@'),
('Carlos Araujo', '783.567.476-94', 'carlosaraujo@email.com', TRUE, '(21) 99876-1352', 'Ong', 'C@rl0sAr@uj0'),
('Ricardo Teixeira', '844.826.182-84', 'ricardoteixeira@email.com', FALSE, '(31) 97654-1353', 'Comum', 'R!c@rd0T3!x3!r@'),
('Gabriel Rodrigues', '353.405.319-29', 'gabrielrodrigues@email.com', TRUE, '(41) 96543-1354', 'Ong', 'G@br!3lR0dr!gu3s'),
('Rodrigo Carvalho', '337.384.664-10', 'rodrigocarvalho@email.com', FALSE, '(51) 95432-1355', 'Comum', 'R0dr!g0C@rv@lh0'),
('Geraldo Sousa', '988.802.785-92', 'geraldosousa@email.com', TRUE, '(61) 94321-1356', 'Ong', 'G3r@ld0S0u$a'),
('Gabriel Costa', '654.161.670-17', 'gabrielcosta@email.com', FALSE, '(71) 93210-1357', 'Comum', 'G@br!3lC0st@'),
('Alex de Almeida', '970.118.687-71', 'alexdealmeida@email.com', TRUE, '(81) 92109-1358', 'Ong', 'Al3xD3@lm3!d@'),
('Rafael Rocha', '974.480.385-16', 'rafaelrocha@email.com', FALSE, '(91) 91098-1359', 'Comum', 'R@f43lR0ch@'),
('Vítor Nunes', '376.019.403-65', 'vitornunes@email.com', TRUE, '(11) 98765-1360', 'Ong', 'V!t0rNUn3s'),
('Júlio Marques', '687.414.551-77', 'juliomarques@email.com', FALSE, '(21) 99876-1361', 'Comum', 'Jul!0M@rqu3s'),
('Lucas de Araujo', '959.291.643-80', 'lucasdearaujo@email.com', TRUE, '(31) 97654-1362', 'Ong', 'Luc@sD3Ar@uj0'),
('Cláudio Rocha', '597.534.918-40', 'claudiorocha@email.com', FALSE, '(41) 96543-1363', 'Comum', 'Cl@ud!0R0ch@'),
('Márcio de Araujo', '102.838.330-41', 'marciodearaujo@email.com', TRUE, '(51) 95432-1364', 'Ong', 'M4rc!0D3Ar@uj0'),
('Matheus da Conceiçao', '984.636.545-41', 'matheusdaconceicao@email.com', FALSE, '(61) 94321-1365', 'Comum', 'M@th3usC0nc3!c@0'),
('Júlio Bezerra', '487.816.807-24', 'juliobezerra@email.com', TRUE, '(71) 93210-1366', 'Ong', 'Jul!0B3z3rr@'),
('Leonardo Ribeiro', '084.112.462-05', 'leonardoribeiro@email.com', FALSE, '(81) 92109-1367', 'Comum', 'L30n@rd0R!b3!r0'),
('Manoel Marques', '089.735.219-00', 'manoelmarques@email.com', TRUE, '(91) 91098-1368', 'Ong', 'M@n03lM@rqu3s'),
('Matheus do Nascimento', '675.386.389-38', 'matheusdonascimento@email.com', FALSE, '(11) 98765-1369', 'Comum', 'M@th3usN@sc!m3nt0'),
('João de Lima', '170.944.995-07', 'joaodelima@email.com', TRUE, '(21) 99876-1370', 'Ong', 'J0@0D3L!m@'),
('Ânderson Nunes', '375.817.353-11', 'andersonnunes@email.com', FALSE, '(31) 97654-1371', 'Comum', 'And3rs0nNUn3s'),
('Renato Barbosa', '062.079.406-28', 'renatobarbosa@email.com', TRUE, '(41) 96543-1372', 'Ong', 'R3n@t0B@rb0s@'),
('Luís Oliveira', '265.645.650-97', 'luisoliveira@email.com', FALSE, '(51) 95432-1373', 'Comum', 'Lu!sOl!v3!r@'),
('Alexandre Soares', '539.499.960-01', 'alexandresoares@email.com', TRUE, '(61) 94321-1374', 'Ong', 'Al3x@ndr3S0@r3s'),
('Paulo Ferreira', '872.124.766-84', 'pauloferreira@email.com', FALSE, '(71) 93210-1375', 'Comum', 'P4ul0F3rr3!r@'),
('Marcelo de Lima', '897.184.025-00', 'marcelodelima@email.com', TRUE, '(81) 92109-1376', 'Ong', 'M@rc3l0D3L!m@'),
('Leandro Gomes', '976.121.069-30', 'leandrogomes@email.com', FALSE, '(91) 91098-1377', 'Comum', 'L3@ndr0G0m3s'),
('Bruno Nascimento', '057.736.014-00', 'brunonascimento@email.com', TRUE, '(11) 98765-1378', 'Ong', 'BrUn0N@sc!m3nt0'),
('Leandro Borges', '387.386.573-41', 'leandroborges@email.com', FALSE, '(21) 99876-1379', 'Comum', 'L3@ndr0B0rg3s'),
('Paulo Santana', '144.686.992-05', 'paulosantana@email.com', TRUE, '(31) 97654-1380', 'Ong', 'P4ul0S@nt@n@'),
('Rodrigo Lima', '359.037.107-27', 'rodrigolima@email.com', FALSE, '(41) 96543-1381', 'Comum', 'R0dr!g0L!m@'),
('Jorge Lima', '505.076.762-89', 'jorgelima@email.com', TRUE, '(51) 95432-1382', 'Ong', 'J0rg3L!m@'),
('Luíz Martins', '414.190.401-54', 'luizmartins@email.com', FALSE, '(61) 94321-1383', 'Comum', 'Lu!zM@rt!ns'),
('Geraldo Bezerra', '857.690.117-00', 'geraldobezerra@email.com', TRUE, '(71) 93210-1384', 'Ong', 'G3r@ld0B3z3rr@'),
('Geraldo Gonçalves', '801.639.962-29', 'geraldogoncalves@email.com', FALSE, '(81) 92109-1385', 'Comum', 'G3r@ld0G0nc@lv3s'),
('Francisco Vieira', '021.471.101-32', 'franciscovieira@email.com', TRUE, '(91) 91098-1386', 'Ong', 'Fr@nc!sc0V!3!r@'),
('Luciano Carvalho', '234.852.464-33', 'lucianocarvalho@email.com', FALSE, '(11) 98765-1387', 'Comum', 'L_c!an0C@rv@lh0'),
('Luís Martins', '066.206.535-29', 'luismartins@email.com', TRUE, '(21) 99876-1388', 'Ong', 'Lu!sM@rt!ns'),
('Daniel Sousa', '651.899.664-10', 'danielsaousa@email.com', FALSE, '(31) 97654-1389', 'Comum', 'D@n!3lS0u$a'),
('Alexandre Costa', '182.662.766-92', 'alexandrecosta@email.com', TRUE, '(41) 96543-1390', 'Ong', 'Al3x@ndr3C0st@'),
('Adriano de Oliveira', '133.417.025-80', 'adrianodeoliveira@email.com', FALSE, '(51) 95432-1391', 'Comum', 'Adr!@n0Ol!v3!r@'),
('Manoel Santana', '660.993.527-08', 'manoelsantana@email.com', TRUE, '(61) 94321-1392', 'Ong', 'M@n03lS@nt@n@'),
('Marcos Marques', '326.499.498-48', 'marcosmarques@email.com', FALSE, '(71) 93210-1393', 'Comum', 'M@rc0sM@rqu3s'),
('Daniel Lopes', '870.684.256-90', 'daniellopes@email.com', TRUE, '(81) 92109-1394', 'Ong', 'D@n!3lL0p3s'),
('Sérgio Nascimento', '590.925.013-28', 'sergionascimento@email.com', FALSE, '(91) 91098-1395', 'Comum', 'S3rg!0N@sc!m3nt0'),
('Lucas Santos', '900.657.655-75', 'lucassantos@email.com', TRUE, '(11) 98765-1396', 'Ong', 'Luc@sS@nt0s'),
('Luís Moreira', '245.216.385-62', 'luismoreira@email.com', FALSE, '(21) 99876-1397', 'Comum', 'Lu!sM0r3!r@'),
('Luís Teixeira', '333.246.307-11', 'luisteixeira@email.com', TRUE, '(31) 97654-1398', 'Ong', 'Lu!sT3!x3!r@'),
('Mateus de Almeida', '445.348.908-00', 'mateusdealmeida@email.com', FALSE, '(41) 96543-1399', 'Comum', 'M@t3usD3@lm3!d@'),
('Guilherme Oliveira', '901.959.102-90', 'guilhermeoliveira@email.com', TRUE, '(51) 95432-1400', 'Ong', 'Gu!lh3rm3Ol!v3!r@'),
('Daniel Dias', '851.605.482-97', 'danieldias@email.com', FALSE, '(61) 94321-1401', 'Comum', 'D@n!3lD!@s'),
('Raimundo Gomes', '659.352.695-97', 'raimundogomes@email.com', TRUE, '(71) 93210-1402', 'Ong', 'R@!mund0G0m3s'),
('Jorge de Lima', '971.525.742-94', 'jorgedelima@email.com', FALSE, '(81) 92109-1403', 'Comum', 'J0rg3D3L!m@'),
('Eduardo Bezerra', '747.801.228-05', 'eduardobezerra@email.com', TRUE, '(91) 91098-1404', 'Ong', 'DuarD0B3z3rr@'),
('Ânderson Carvalho', '978.700.379-23', 'andersoncarvalho@email.com', FALSE, '(11) 98765-1405', 'Comum', 'And3rs0nC@rv@lh0'),
('Antônio Barbosa', '378.966.452-97', 'antoniobarbosa@email.com', TRUE, '(21) 99876-1406', 'Ong', 'Ant0n!0B@rb0s@'),
('Lucas de Lima', '839.210.271-10', 'lucasdelima@email.com', FALSE, '(31) 97654-1407', 'Comum', 'Luc@sD3L!m@'),
('Édson Oliveira', '564.543.758-62', 'edsonoliveira@email.com', TRUE, '(41) 96543-1408', 'Ong', '3ds0nOl!v3!r@'),
('Jorge Sousa', '859.211.539-66', 'jorgesousa@email.com', FALSE, '(51) 95432-1409', 'Comum', 'J0rg3S0u$a'),
('Raimundo de Sousa', '169.968.294-10', 'raimundodesousa@email.com', TRUE, '(61) 94321-1410', 'Ong', 'R@!mund0D3S0u$a'),
('Luís Almeida', '814.721.053-11', 'luisalmeida@email.com', FALSE, '(71) 93210-1411', 'Comum', 'Lu!s@lm3!d@'),
('Fernando Souza', '503.890.636-22', 'fernandosouza@email.com', TRUE, '(81) 92109-1412', 'Ong', 'F3rn@nd0S0u$a'),
('Luís Santana', '313.556.697-82', 'luissantana@email.com', FALSE, '(91) 91098-1413', 'Comum', 'Lu!sS@nt@n@'),
('José Rodrigues', '645.623.291-06', 'joserodrigues@email.com', TRUE, '(11) 98765-1414', 'Ong', 'J0s3R0dr!gu3s'),
('Paulo Lopes', '813.210.192-89', 'paulolopes@email.com', FALSE, '(21) 99876-1415', 'Comum', 'P4ul0L0p3s'),
